segment_id,s_node_id,e_node_id,period,actual_velocity,time,LOS,congestion_factor,risk_factor
2065,4929127560,2434647895,period_23_30,0.7880910683012259,0.3885480572597137,F,5.0,5.0
2065,4929127560,2434647895,period_0_00,7.142857142857143,0.04286957549450431,D,0.34798534798534797,5.0
2066,4929127560,366388735,period_23_30,0.7880910683012259,0.3169734151329244,F,5.0,5.0
2066,4929127560,366388735,period_0_00,5.278592375366569,0.0473239643434007,E,0.5517399267399268,5.0
2067,366388735,4929127560,period_23_30,0.7880910683012259,0.3169734151329244,F,5.0,5.0
2067,366388735,4929127560,period_0_00,5.278592375366569,0.0473239643434007,E,0.5517399267399268,5.0
2068,366388735,366474637,period_23_30,8.955223880597016,0.017096794988879695,C,0.23122710622710618,5.0
2068,366388735,366474637,period_0_00,5.278592375366569,0.029005010404019784,E,0.5517399267399268,5.0
2069,366474637,366388735,period_23_30,0.7880910683012259,0.19427402862985685,F,5.0,5.0
2069,366474637,366388735,period_0_00,7.142857142857143,0.021434787747252156,D,0.34798534798534797,5.0
2070,366474637,5778485990,period_23_30,5.278592375366569,0.006106317979793639,E,0.5517399267399268,5.0
2070,366474637,5778485990,period_0_00,5.278592375366569,0.006106317979793639,E,0.5517399267399268,5.0
2071,5778485990,366474637,period_23_30,18.0,0.0017907090849834718,A,0.0,5.0
2071,5778485990,366474637,period_0_00,7.142857142857143,0.004512586894158349,D,0.34798534798534797,5.0
2072,5778485990,366465994,period_23_30,18.0,0.0026860636274752075,A,0.0,5.0
2072,5778485990,366465994,period_0_00,5.278592375366569,0.009159476969690458,E,0.5517399267399268,5.0
2073,366465994,5778485990,period_23_30,8.955223880597016,0.005398987891225167,C,0.23122710622710618,5.0
2073,366465994,5778485990,period_0_00,7.142857142857143,0.006768880341237523,D,0.34798534798534797,5.0
2074,366465994,366418153,period_23_30,7.142857142857143,0.01692220085309381,D,0.34798534798534797,5.0
2074,366465994,366418153,period_0_00,7.142857142857143,0.01692220085309381,D,0.34798534798534797,5.0
2075,366418153,366465994,period_23_30,8.955223880597016,0.013497469728062919,C,0.23122710622710618,5.0
2075,366418153,366465994,period_0_00,7.142857142857143,0.01692220085309381,D,0.34798534798534797,5.0
2076,366418153,5778485984,period_23_30,8.955223880597016,0.0332937586625552,C,0.23122710622710618,5.0
2076,366418153,5778485984,period_0_00,7.142857142857143,0.04174142877096473,D,0.34798534798534797,5.0
2077,5778485984,366418153,period_23_30,7.142857142857143,0.04174142877096473,D,0.34798534798534797,5.0
2077,5778485984,366418153,period_0_00,5.278592375366569,0.05648344131309116,E,0.5517399267399268,5.0
2078,5778485984,366413450,period_23_30,7.142857142857143,0.0033844401706187616,D,0.34798534798534797,5.0
2078,5778485984,366413450,period_0_00,5.278592375366569,0.004579738484845229,E,0.5517399267399268,5.0
2079,366413450,5778485984,period_23_30,7.142857142857143,0.0033844401706187616,D,0.34798534798534797,5.0
2079,366413450,5778485984,period_0_00,8.955223880597016,0.0026994939456125833,C,0.23122710622710618,5.0
2080,366413450,366474075,period_23_30,8.955223880597016,0.012597638412858722,C,0.23122710622710618,5.0
2080,366413450,366474075,period_0_00,7.142857142857143,0.015794054129554223,D,0.34798534798534797,5.0
2081,366474075,366413450,period_23_30,8.955223880597016,0.012597638412858722,C,0.23122710622710618,5.0
2081,366474075,366413450,period_0_00,8.955223880597016,0.012597638412858722,C,0.23122710622710618,5.0
2082,366474075,4932516665,period_23_30,8.955223880597016,0.00989814446724614,C,0.23122710622710618,5.0
2082,366474075,4932516665,period_0_00,5.278592375366569,0.016792374444432507,E,0.5517399267399268,5.0
2083,4932516665,366474075,period_23_30,8.955223880597016,0.00989814446724614,C,0.23122710622710618,5.0
2083,4932516665,366474075,period_0_00,7.142857142857143,0.012409613958935459,D,0.34798534798534797,5.0
2084,4932516665,366448103,period_23_30,8.955223880597016,0.0017996626304083887,C,0.23122710622710618,5.0
2084,4932516665,366448103,period_0_00,5.278592375366569,0.0030531589898968193,E,0.5517399267399268,5.0
2085,366448103,4932516665,period_23_30,7.142857142857143,0.0022562934470791744,D,0.34798534798534797,5.0
2085,366448103,4932516665,period_0_00,8.955223880597016,0.0017996626304083887,C,0.23122710622710618,5.0
2086,366448103,366429352,period_23_30,18.0,0.010296577238654962,A,0.0,5.0
2086,366448103,366429352,period_0_00,7.142857142857143,0.025947374641410503,D,0.34798534798534797,5.0
2087,366429352,366448103,period_23_30,18.0,0.010296577238654962,A,0.0,5.0
2087,366429352,366448103,period_0_00,5.278592375366569,0.03511132838381342,E,0.5517399267399268,5.0
2088,366429352,4924631882,period_23_30,5.278592375366569,0.03816448737371024,E,0.5517399267399268,5.0
2088,366429352,4924631882,period_0_00,7.142857142857143,0.02820366808848968,D,0.34798534798534797,5.0
2089,4924631882,366429352,period_23_30,5.278592375366569,0.03816448737371024,E,0.5517399267399268,5.0
2089,4924631882,366429352,period_0_00,5.278592375366569,0.03816448737371024,E,0.5517399267399268,5.0
2090,4924631882,366426405,period_23_30,8.955223880597016,0.01439730104326711,C,0.23122710622710618,5.0
2090,4924631882,366426405,period_0_00,8.955223880597016,0.01439730104326711,C,0.23122710622710618,5.0
