_id,long,lat
366369029,106.8109746,10.8551191
366369070,106.5383896,10.7413727
366369078,106.6644795,10.8072313
366369081,106.724416,10.8120658
366369082,106.5640567,10.8185863
366369083,106.646036,10.7924984
366369086,106.7600865,10.8681709
366369088,106.7761257,10.8475223
366369115,106.6926737,10.805078
366369121,106.603187,10.8775033
366369122,106.6283706,10.7719507
366369124,106.6077622,10.8858732
366369152,106.810207,10.8775424
366369155,106.7548063,10.8663781
366369165,106.7364547,10.7888427
366369174,106.7541729,10.8594111
366369223,106.6623785,10.8390485
366369237,106.8233333,10.7913678
366369247,106.8592854,10.81973
366369250,106.7995638,10.8742377
366369287,106.6350333,10.7781678
366369288,106.6294052,10.8833249
366369298,106.8287395,10.8743147
366369300,106.8117295,10.8580556
366369304,106.6762485,10.756382
366369322,106.6545424,10.6976654
366369326,106.6309728,10.8836305
366369328,106.6229428,10.8359966
366369337,106.6395651,10.7698683
366369338,106.6519265,10.7270634
366369341,106.7204336,10.7015411
366369343,106.6583334,10.75642
366369347,106.7555293,10.8606434
366369352,106.7079488,10.756225
366369354,106.7738848,10.8820589
366369358,106.5985885,10.8385048
366369360,106.6551098,10.693072
366369368,106.5807697,10.7169308
366369370,106.6763149,10.7471417
366369377,106.6641153,10.8373421
366369379,106.8651994,10.8255809
366369381,106.747092,10.829509
366369383,106.6270052,10.8530097
366369385,106.6350613,10.8626695
366369386,106.6630147,10.8387654
366369387,106.6331969,10.7448065
366369406,106.704976,10.6769783
366369407,106.6414601,10.8303437
366369410,106.6273139,10.8145443
366369421,106.577912,10.7961639
366369424,106.672682,10.7973534
366369448,106.6929629,10.8534957
366369468,106.6289394,10.6991565
366369484,106.6641562,10.795953
366369490,106.66203,10.7397148
366369496,106.5868521,10.7491595
366369507,106.7581116,10.8699063
366369508,106.567856,10.7920634
366369516,106.7224874,10.8468447
366369547,106.6235959,10.7118554
366369548,106.5958513,10.8790964
366369553,106.6582476,10.7994904
366369558,106.580579,10.7070699
366369559,106.6253691,10.8670822
366369560,106.7512596,10.789586
366369567,106.6717177,10.7791873
366369573,106.8134413,10.8470664
366369577,106.6853114,10.8373295
366369587,106.5781022,10.7884604
366369589,106.6443078,10.8326063
366369600,106.7015901,10.8036849
366369602,106.8022741,10.8473413
366369604,106.7813075,10.8507588
366369611,106.5769876,10.7901629
366369613,106.6777939,10.8412476
366369634,106.6387157,10.7529536
366369636,106.6851923,10.7972149
366369642,106.625491,10.7851423
366369645,106.7177824,10.8040532
366369649,106.5766422,10.8172404
366369651,106.5639757,10.8319343
366369660,106.6034047,10.7828148
366369664,106.7409624,10.7413774
366369666,106.6068807,10.8748675
366369671,106.6619752,10.7399317
366369672,106.628428,10.7144705
366369675,106.6580009,10.7608606
366369703,106.7477543,10.8580562
366369710,106.7124446,10.721392
366369712,106.6634893,10.8350828
366369713,106.6309305,10.7912859
366369719,106.62432,10.8372969
366369721,106.6980054,10.722702
366369725,106.7306955,10.7935921
366369728,106.7811691,10.8804211
366369758,106.7637642,10.861998
366369811,106.6437254,10.8329776
366369816,106.590131,10.6824039
366369819,106.6756995,10.8011427
366369823,106.6487874,10.8808067
366369830,106.770043,10.8804426
366369832,106.5988086,10.8794659
366369838,106.6024674,10.7530776
366369840,106.6048603,10.7657828
366369853,106.6451534,10.8194989
366369871,106.7526385,10.852563
366369881,106.5672852,10.7617432
366369886,106.7440887,10.8642968
366369902,106.6411109,10.8058635
366369904,106.7619236,10.8248171
366369911,106.6966309,10.8113412
366369928,106.7490604,10.7665783
366369944,106.6926927,10.815605
366369949,106.647766,10.8602927
366369956,106.6344293,10.789627
366369976,106.6601249,10.7924172
366369985,106.629824,10.7136577
366369987,106.6546923,10.7616185
366369989,106.7749548,10.8788789
366370011,106.6255233,10.7108548
366370025,106.7412208,10.7392276
366370044,106.6364387,10.7924813
366370051,106.6381869,10.8610927
366370087,106.643825,10.7578558
366370102,106.8294523,10.8801857
366370104,106.6404032,10.8258465
366370125,106.6351218,10.7258491
366370127,106.6720271,10.8292954
366370132,106.6522035,10.7620489
366370163,106.6251066,10.8594018
366370165,106.5741239,10.8241123
366370183,106.8342668,10.8839368
366370193,106.6222982,10.7832078
366370195,106.6745413,10.8232876
366370205,106.7275178,10.8335624
366370213,106.6033835,10.7677764
366370214,106.5977085,10.8883195
366370236,106.672112,10.7788764
366370238,106.621994,10.7862531
366370268,106.5789162,10.6952331
366370278,106.5869205,10.754038
366370341,106.6471442,10.6851434
366370358,106.839522,10.8769501
366370378,106.6477784,10.7889817
366370396,106.6526588,10.7584084
366370418,106.68689,10.8122892
366370423,106.656948,10.7377936
366370425,106.6862667,10.8089506
366370431,106.5775674,10.7947185
366370433,106.5991582,10.7509735
366370443,106.8184264,10.8439185
366370450,106.8615275,10.8301957
366370454,106.7455419,10.875411
366370455,106.7158538,10.7478627
366370463,106.7068087,10.6874122
366370465,106.5739461,10.8740932
366370470,106.66452,10.7638502
366370472,106.6979236,10.8157548
366370475,106.83283,10.817673
366370487,106.7214788,10.8016835
366370489,106.8643194,10.8095381
366370508,106.7721361,10.8830787
366370535,106.7182533,10.7568169
366370544,106.5898601,10.8574351
366370560,106.688582,10.7981157
366370578,106.7405442,10.7661487
366370579,106.7290101,10.834751
366370580,106.8602909,10.8079821
366370585,106.7041278,10.8542513
366370589,106.6550266,10.8396297
366370597,106.6682969,10.7927968
366370600,106.6037186,10.790698
366370602,106.6374738,10.7409177
366370606,106.6539154,10.8115078
366370610,106.7988944,10.8392477
366370616,106.6263371,10.8675368
366370617,106.6712397,10.7645343
366370619,106.713704,10.7424897
366370623,106.7181619,10.7478734
366370627,106.8289083,10.8745069
366370636,106.6697446,10.79561
366370640,106.6986392,10.8600303
366370651,106.7078478,10.7617201
366370659,106.730401,10.8740141
366370665,106.649379,10.7772076
