_id,segment_id,date,weekday,period,LOS,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode
27737,63359,2020-08-02,6,period_23_30,C,366478823,366443260,69,468724778,,2,3 Tháng 2,primary,106.6629582,10.7653794,106.6635145,10.7656761
27738,63359,2020-08-03,0,period_0_00,D,366478823,366443260,69,468724778,,2,3 Tháng 2,primary,106.6629582,10.7653794,106.6635145,10.7656761
27739,63359,2021-01-06,2,period_12_00,F,366478823,366443260,69,468724778,,2,3 Tháng 2,primary,106.6629582,10.7653794,106.6635145,10.7656761
27740,63359,2021-01-20,2,period_9_00,F,366478823,366443260,69,468724778,,2,3 Tháng 2,primary,106.6629582,10.7653794,106.6635145,10.7656761
27741,63359,2021-01-20,2,period_9_30,F,366478823,366443260,69,468724778,,2,3 Tháng 2,primary,106.6629582,10.7653794,106.6635145,10.7656761
27742,63360,2020-08-02,6,period_23_30,E,366443260,5051610759,23,468724778,,2,3 Tháng 2,primary,106.6635145,10.7656761,106.663705,10.7657778
27743,63360,2020-08-03,0,period_0_00,D,366443260,5051610759,23,468724778,,2,3 Tháng 2,primary,106.6635145,10.7656761,106.663705,10.7657778
27744,63360,2021-01-06,2,period_12_00,F,366443260,5051610759,23,468724778,,2,3 Tháng 2,primary,106.6635145,10.7656761,106.663705,10.7657778
27745,63361,2020-08-02,6,period_23_30,E,5051610759,3150623840,19,468724778,,2,3 Tháng 2,primary,106.663705,10.7657778,106.6638606,10.7658608
27746,63361,2020-08-03,0,period_0_00,C,5051610759,3150623840,19,468724778,,2,3 Tháng 2,primary,106.663705,10.7657778,106.6638606,10.7658608
27747,63362,2020-08-02,6,period_23_30,C,3150623840,366379977,21,468724778,,2,3 Tháng 2,primary,106.6638606,10.7658608,106.6640311,10.7659517
27748,63362,2020-08-03,0,period_0_00,D,3150623840,366379977,21,468724778,,2,3 Tháng 2,primary,106.6638606,10.7658608,106.6640311,10.7659517
27749,63363,2020-08-02,6,period_23_30,C,2433653225,2433653226,159,468724779,,2,3 Tháng 2,primary,106.6639913,10.766037,106.6627096,10.7653526
27750,63363,2020-08-03,0,period_0_00,E,2433653225,2433653226,159,468724779,,2,3 Tháng 2,primary,106.6639913,10.766037,106.6627096,10.7653526
27751,63364,2020-08-02,6,period_23_30,F,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27752,63364,2020-08-03,0,period_0_00,E,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27753,63364,2020-11-30,0,period_4_30,B,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27754,63364,2020-11-30,0,period_5_00,B,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27755,63364,2020-11-30,0,period_6_00,B,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27756,63364,2020-12-10,3,period_11_00,B,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27757,63364,2020-12-20,6,period_10_00,C,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27758,63364,2020-12-20,6,period_11_30,F,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27759,63364,2020-12-20,6,period_12_00,F,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27760,63364,2020-12-20,6,period_12_30,F,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27761,63364,2020-12-20,6,period_13_00,F,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27762,63364,2020-12-20,6,period_13_30,F,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27763,63364,2020-12-20,6,period_14_00,F,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27764,63364,2020-12-20,6,period_14_30,F,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27765,63364,2020-12-25,4,period_8_00,A,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27766,63364,2021-01-06,2,period_12_00,F,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27767,63364,2021-01-06,2,period_14_30,E,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27768,63364,2021-01-20,2,period_11_00,F,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27769,63364,2021-01-20,2,period_9_00,F,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27770,63364,2021-01-20,2,period_9_30,F,2433653226,2841303664,82,468724779,,2,3 Tháng 2,primary,106.6627096,10.7653526,106.6620482,10.7649993
27771,63365,2020-08-02,6,period_23_30,C,2841303664,5073779489,23,468724779,,2,3 Tháng 2,primary,106.6620482,10.7649993,106.6618639,10.7648966
27772,63365,2020-08-03,0,period_0_00,E,2841303664,5073779489,23,468724779,,2,3 Tháng 2,primary,106.6620482,10.7649993,106.6618639,10.7648966
27773,63365,2020-11-30,0,period_4_30,B,2841303664,5073779489,23,468724779,,2,3 Tháng 2,primary,106.6620482,10.7649993,106.6618639,10.7648966
27774,63365,2020-11-30,0,period_5_00,B,2841303664,5073779489,23,468724779,,2,3 Tháng 2,primary,106.6620482,10.7649993,106.6618639,10.7648966
27775,63365,2020-11-30,0,period_6_00,B,2841303664,5073779489,23,468724779,,2,3 Tháng 2,primary,106.6620482,10.7649993,106.6618639,10.7648966
27776,63365,2021-01-06,2,period_14_30,A,2841303664,5073779489,23,468724779,,2,3 Tháng 2,primary,106.6620482,10.7649993,106.6618639,10.7648966
27777,63365,2021-01-20,2,period_9_00,F,2841303664,5073779489,23,468724779,,2,3 Tháng 2,primary,106.6620482,10.7649993,106.6618639,10.7648966
27778,63366,2020-08-02,6,period_23_30,C,5073779489,3150623839,22,468724779,,2,3 Tháng 2,primary,106.6618639,10.7648966,106.6616782,10.7648017
27779,63366,2020-08-03,0,period_0_00,C,5073779489,3150623839,22,468724779,,2,3 Tháng 2,primary,106.6618639,10.7648966,106.6616782,10.7648017
27780,63366,2021-01-06,2,period_14_30,E,5073779489,3150623839,22,468724779,,2,3 Tháng 2,primary,106.6618639,10.7648966,106.6616782,10.7648017
27781,63367,2020-08-02,6,period_23_30,E,3150623839,4627953644,19,468724779,,2,3 Tháng 2,primary,106.6616782,10.7648017,106.6615183,10.7647164
27782,63367,2020-08-02,6,period_5_00,F,3150623839,4627953644,19,468724779,,2,3 Tháng 2,primary,106.6616782,10.7648017,106.6615183,10.7647164
27783,63367,2020-08-03,0,period_0_00,E,3150623839,4627953644,19,468724779,,2,3 Tháng 2,primary,106.6616782,10.7648017,106.6615183,10.7647164
27784,63367,2020-11-30,0,period_5_00,B,3150623839,4627953644,19,468724779,,2,3 Tháng 2,primary,106.6616782,10.7648017,106.6615183,10.7647164
27785,63367,2020-12-10,3,period_11_00,B,3150623839,4627953644,19,468724779,,2,3 Tháng 2,primary,106.6616782,10.7648017,106.6615183,10.7647164
27786,63368,2020-08-02,6,period_23_30,C,4627953644,2433653232,12,468724779,,2,3 Tháng 2,primary,106.6615183,10.7647164,106.6614188,10.7646632
27787,63368,2020-08-03,0,period_0_00,E,4627953644,2433653232,12,468724779,,2,3 Tháng 2,primary,106.6615183,10.7647164,106.6614188,10.7646632
27788,63368,2020-11-30,0,period_4_30,B,4627953644,2433653232,12,468724779,,2,3 Tháng 2,primary,106.6615183,10.7647164,106.6614188,10.7646632
27789,63368,2020-11-30,0,period_6_00,B,4627953644,2433653232,12,468724779,,2,3 Tháng 2,primary,106.6615183,10.7647164,106.6614188,10.7646632
27790,63368,2020-12-25,4,period_8_00,F,4627953644,2433653232,12,468724779,,2,3 Tháng 2,primary,106.6615183,10.7647164,106.6614188,10.7646632
27791,63369,2020-08-02,6,period_23_30,E,2433653232,5778688826,36,468724779,,2,3 Tháng 2,primary,106.6614188,10.7646632,106.6611284,10.7645086
27792,63369,2020-08-02,6,period_5_00,E,2433653232,5778688826,36,468724779,,2,3 Tháng 2,primary,106.6614188,10.7646632,106.6611284,10.7645086
